"_id",guid,title,year,month,day,date,fulltext,iso3c,country
645ca8039e7dd258fa7fd191,8470ea9b-2355-4a55-847a-b2337e8567b5,中俄联合声明,1994,9,3,1994-09-03,一、中华人民共和国和俄罗斯联邦（以下简称“双方”）一致认为，保持和发展长期稳定的睦邻友好和互利合作关系符合两国和两国人民的根本利益，有利于维护和加强亚洲和世界的和平、稳定与发展。,RUS,61
645ca8039e7dd258fa7fd192,8470ea9b-2355-4a55-847a-b2337e8567b5,中俄联合声明,1994,9,3,1994-09-03,二、双方高度评价１９９２年第一次中俄高级会晤以来两国关系充满活力的顺利发展，并认为两国已具有新型的建设性伙伴关系，即建立在和平共处各项原则基础上的完全平等的睦邻友好、互利合作关系，既不结盟，也不针对第三国。,RUS,61
645ca8039e7dd258fa7fd193,8470ea9b-2355-4a55-847a-b2337e8567b5,中俄联合声明,1994,9,3,1994-09-03,三、双方重申，恪守１９９２年１２月１８日《中俄联合声明》的各项原则，决心面向二十一世纪，把两国关系提高到一个崭新的水平，并且最大限度地发挥和利用中俄合作的巨大潜力，为促进两国国内改革和发展经济的重大任务以及在亚太地区和全世界建立持久和平提供有利的条件。,RUS,61
645ca8039e7dd258fa7fd194,8470ea9b-2355-4a55-847a-b2337e8567b5,中俄联合声明,1994,9,3,1994-09-03,——以和平共处各项原则为基础，从社会制度和观点的不同不妨碍各个领域关系的发展这一共识出发，始终如一地维护和发展长期睦邻友好的相互关系，保持经常和多方面的对话，根据公认的国际法准则，本着坦诚、信任和考虑相互利益的精神解决出现的问题；,RUS,61
645ca8039e7dd258fa7fd195,8470ea9b-2355-4a55-847a-b2337e8567b5,中俄联合声明,1994,9,3,1994-09-03,——严格遵守中俄国界协定，公正合理地解决遗留的边界问题，按期完成勘界立标工作，巩固两国边境地区友好、睦邻、相互信任与合作的局面；,RUS,61
645ca8039e7dd258fa7fd196,8470ea9b-2355-4a55-847a-b2337e8567b5,中俄联合声明,1994,9,3,1994-09-03,——考虑到两国国内的特点和相互尊重各自自由选择其发展道路的权利，磋商和相互介绍其改革的理论与实践；,RUS,61
645ca8039e7dd258fa7fd197,8470ea9b-2355-4a55-847a-b2337e8567b5,中俄联合声明,1994,9,3,1994-09-03,"——完善和加强双边关系的条约法律基础。


　　（二）在经贸和科技关系方面",RUS,61
645ca8039e7dd258fa7fd198,8470ea9b-2355-4a55-847a-b2337e8567b5,中俄联合声明,1994,9,3,1994-09-03,——最大限度地利用地缘优势和经济的互补性的优势。坚持平等互利的原则，逐步实现向符合国际规范的经济关系形式的过渡，优先考虑发展法律、财政信贷、交通和信息方面的合作；,RUS,61
645ca8039e7dd258fa7fd199,8470ea9b-2355-4a55-847a-b2337e8567b5,中俄联合声明,1994,9,3,1994-09-03,——积极探讨经贸合作有前景的新领域，制定并实施科技领域的长期合作规划；,RUS,61
645ca8039e7dd258fa7fd19a,8470ea9b-2355-4a55-847a-b2337e8567b5,中俄联合声明,1994,9,3,1994-09-03,——提高合作档次和质量，根据需要和可能，增加重大项目合作比重；,RUS,61
