_id,URL,title,date,content,Official media,author,media,account,Internet news license,Commercial media,chunk_id,original_id,chunk_size,topic,topic_probability
66765f9ffb88ab4b048dd580,https://mp.weixin.qq.com/s/bDAgRyiw7Q4lDYDkpDtdpA,国台办深夜下通牒，不到24小时，福建海警出手了，台当局作茧自缚,2024-06-15,在两岸关系的敏感背景下，金门海域渔船事故成为了一触即发的导火索。,0,,1,1,1,1,66765f9ffb88ab4b048dd580_0,66765f9ffb88ab4b048dd580,32,-1,0.11256005480308923
66765f9ffb88ab4b048dd580,https://mp.weixin.qq.com/s/bDAgRyiw7Q4lDYDkpDtdpA,国台办深夜下通牒，不到24小时，福建海警出手了，台当局作茧自缚,2024-06-15,台方的行动不仅造成了人员伤亡的悲剧，更在政治层面上引发了一系列紧张对抗，台当局此举无疑加剧了两岸的紧张关系，自身也面临着前所未有的外交压力。,0,,1,1,1,1,66765f9ffb88ab4b048dd580_1,66765f9ffb88ab4b048dd580,70,0,0.9080808504175525
66765f9ffb88ab4b048dd580,https://mp.weixin.qq.com/s/bDAgRyiw7Q4lDYDkpDtdpA,国台办深夜下通牒，不到24小时，福建海警出手了，台当局作茧自缚,2024-06-15,【国台办立场】    国台办发言人朱凤莲指责台湾方面的粗暴行为导致两名大陆渔民遇难，激起了大陆各界的强烈愤慨。,0,,1,1,1,1,66765f9ffb88ab4b048dd580_2,66765f9ffb88ab4b048dd580,55,0,0.9999999968960451
66765f9ffb88ab4b048dd580,https://mp.weixin.qq.com/s/bDAgRyiw7Q4lDYDkpDtdpA,国台办深夜下通牒，不到24小时，福建海警出手了，台当局作茧自缚,2024-06-15,朱凤莲表示，大陆对台湾同胞始终怀有善意，但绝不会容忍台方漠视大陆渔民生命和财产安全的行为。,0,,1,1,1,1,66765f9ffb88ab4b048dd580_3,66765f9ffb88ab4b048dd580,45,-1,0.5238687228044673
66765f9ffb88ab4b048dd580,https://mp.weixin.qq.com/s/bDAgRyiw7Q4lDYDkpDtdpA,国台办深夜下通牒，不到24小时，福建海警出手了，台当局作茧自缚,2024-06-15,国台办强烈要求台方立即释放扣押的渔船和渔民，彻查事故真相，严肃处理相关责任人，并对遇难渔民家属及两岸同胞作出妥善解释。,0,,1,1,1,1,66765f9ffb88ab4b048dd580_4,66765f9ffb88ab4b048dd580,59,0,0.999999996914906
66765f9ffb88ab4b048dd580,https://mp.weixin.qq.com/s/bDAgRyiw7Q4lDYDkpDtdpA,国台办深夜下通牒，不到24小时，福建海警出手了，台当局作茧自缚,2024-06-15,国台办还明确表示保留采取更多措施的权利，并指出所有后果将由台方承担。,0,,1,1,1,1,66765f9ffb88ab4b048dd580_5,66765f9ffb88ab4b048dd580,34,0,0.9999999970848809
66765f9ffb88ab4b048dd580,https://mp.weixin.qq.com/s/bDAgRyiw7Q4lDYDkpDtdpA,国台办深夜下通牒，不到24小时，福建海警出手了，台当局作茧自缚,2024-06-15,【福建海警执法】    继国台办表达立场后，福建海警在厦门金门海域加强了执法巡查力度。,0,,1,1,1,1,66765f9ffb88ab4b048dd580_6,66765f9ffb88ab4b048dd580,43,2,0.8767776745521519
66765f9ffb88ab4b048dd580,https://mp.weixin.qq.com/s/bDAgRyiw7Q4lDYDkpDtdpA,国台办深夜下通牒，不到24小时，福建海警出手了，台当局作茧自缚,2024-06-15,福建海警此次增强执法行动的目的是为了维护该海域的正常作业秩序，并保护渔民的生命及财产安全。,0,,1,1,1,1,66765f9ffb88ab4b048dd580_7,66765f9ffb88ab4b048dd580,45,-1,0.17919406325534148
66765f9ffb88ab4b048dd580,https://mp.weixin.qq.com/s/bDAgRyiw7Q4lDYDkpDtdpA,国台办深夜下通牒，不到24小时，福建海警出手了，台当局作茧自缚,2024-06-15,中国海警局新闻发言人甘羽强调，此举旨在维护相关海域的正常秩序。,0,,1,1,1,1,66765f9ffb88ab4b048dd580_8,66765f9ffb88ab4b048dd580,31,0,0.9999999963767463
66765f9ffb88ab4b048dd580,https://mp.weixin.qq.com/s/bDAgRyiw7Q4lDYDkpDtdpA,国台办深夜下通牒，不到24小时，福建海警出手了，台当局作茧自缚,2024-06-15,甘羽还提到，台当局长期以来派遣海巡部门对大陆渔船执行暴力执法，这一行为触发了福建海警的执法响应。,0,,1,1,1,1,66765f9ffb88ab4b048dd580_9,66765f9ffb88ab4b048dd580,48,3,0.3598334900326761
66765f9ffb88ab4b048dd580,https://mp.weixin.qq.com/s/bDAgRyiw7Q4lDYDkpDtdpA,国台办深夜下通牒，不到24小时，福建海警出手了，台当局作茧自缚,2024-06-15,【台当局立场】台当局对事件并无悔意，反而推动了“受害者有罪论”的论调。,0,,1,1,1,1,66765f9ffb88ab4b048dd580_10,66765f9ffb88ab4b048dd580,35,1,0.971558416784134
66765f9ffb88ab4b048dd580,https://mp.weixin.qq.com/s/bDAgRyiw7Q4lDYDkpDtdpA,国台办深夜下通牒，不到24小时，福建海警出手了，台当局作茧自缚,2024-06-15,台湾陆委会声明，台方海巡单位在执法过程中并未有不当行为，并强调在维护渔民权益过程中需要采取严正的执法措施。,0,,1,1,1,1,66765f9ffb88ab4b048dd580_11,66765f9ffb88ab4b048dd580,53,3,0.9838611523331232
66765f9ffb88ab4b048dd580,https://mp.weixin.qq.com/s/bDAgRyiw7Q4lDYDkpDtdpA,国台办深夜下通牒，不到24小时，福建海警出手了，台当局作茧自缚,2024-06-15,岛内专家对陆委会的发言表示批评，认为其没有体现出应有的人道关怀，反倒是把遇难的渔民视为罪犯。,0,,1,1,1,1,66765f9ffb88ab4b048dd580_12,66765f9ffb88ab4b048dd580,46,-1,0.5231874253734277
66765f9ffb88ab4b048dd580,https://mp.weixin.qq.com/s/bDAgRyiw7Q4lDYDkpDtdpA,国台办深夜下通牒，不到24小时，福建海警出手了，台当局作茧自缚,2024-06-15,【两岸渔业争端】两岸渔业争端中，台当局常以“越界”捕捞为由扣留大陆渔船。,0,,1,1,1,1,66765f9ffb88ab4b048dd580_13,66765f9ffb88ab4b048dd580,36,1,0.999559911797514
